"month","site_no","NO3_Estimate","NO3_Upper","NO3_Lower"
"2012-01","lktexana_g",64.06343189238721,106.28318843887926,38.29244545950028
"2012-02","lktexana_g",662.1685709357413,1005.4431485386135,437.97229137947176
"2012-03","lktexana_g",6114.1184262262295,10110.464592091426,3678.638421989379
"2012-04","lktexana_g",2351.58249202656,3267.974757878128,1709.9718486693987
"2012-05","lktexana_g",4597.30498405464,7207.914270630052,3074.4297269607323
"2012-06","lktexana_g",1077.362606888131,1507.0983411990235,772.0295026482395
"2012-07","lktexana_g",19000.028810740412,32082.7493682508,11394.137711140356
"2012-08","lktexana_g",964.0031222212203,1418.360837295812,655.0978834451226
"2012-09","lktexana_g",489.4189247591491,766.9035584577416,308.9397749227673
"2012-10","lktexana_g",874.4631286331594,1539.5375746385364,518.5683029889748
"2012-11","lktexana_g",132.1294844239665,211.8710507272205,83.05346275744321
"2012-12","lktexana_g",91.72516585783728,149.05998567128728,56.82660576762643
"2013-01","lktexana_g",129.87112678953542,220.78320762032607,77.79655877335857
"2013-02","lktexana_g",65.26001047619106,105.66726539524363,41.117929759915526
"2013-03","lktexana_g",49.138675605993626,74.87711916580677,31.685956558470778
"2013-04","lktexana_g",791.6553541041517,1141.8882922179112,552.2950554275532
"2013-05","lktexana_g",2651.7312941813334,3771.1246893153707,1898.6593328528104
"2013-06","lktexana_g",996.5412278731168,1402.1032848811235,706.7809402704845
"2013-07","lktexana_g",685.1285538277499,1003.3002157254955,461.142367566965
"2013-08","lktexana_g",282.1812155787654,430.9740728897622,185.80092455865855
"2013-09","lktexana_g",229.74888968145314,408.139804619322,128.33914966086635
"2013-10","lktexana_g",611.6126178556161,1055.3193461907154,350.4923851206422
"2013-11","lktexana_g",508.78684410569156,847.1767974432189,303.67549811474134
"2013-12","lktexana_g",101.46749035554954,172.50871034907007,60.2311140088747
"2014-01","lktexana_g",166.78070551169202,300.9855240258604,93.68407765807746
"2014-02","lktexana_g",95.56886721628223,167.27901979233633,53.58265562817929
"2014-03","lktexana_g",755.6115319978151,1155.5261934806044,485.27038245846035
"2014-04","lktexana_g",142.5441939400336,225.36742827734298,86.77523561331037
"2014-05","lktexana_g",61858.87204539983,102168.06735514062,37755.31660696437
"2014-06","lktexana_g",22122.787981637422,36769.17873698872,13260.288383049994
"2014-07","lktexana_g",2962.0567220739604,4156.175026614691,2116.822949644409
"2014-08","lktexana_g",1034.0707977423835,1502.6033374066476,696.9713674900279
"2014-09","lktexana_g",733.4186527726945,1179.5069559931908,457.49296704437427
"2014-10","lktexana_g",488.1970973098265,786.1993224206487,300.77773383118307
"2014-11","lktexana_g",159.02149849110947,265.14523391437336,94.8510137538927
"2014-12","lktexana_g",50.396800262702506,82.80752720357569,30.801871590598726
"2015-01","lktexana_g",636.5659410586441,1001.3304993594096,402.50918238601423
"2015-02","lktexana_g",438.5169999126998,677.200451685157,281.35053169657107
"2015-03","lktexana_g",61597.0861144381,100089.35612874731,36411.62522406626
"2015-04","lktexana_g",85017.93301199505,128722.68973886136,55231.83521158486
"2015-05","lktexana_g",40921.44405166161,69408.92105335265,24417.881874260664
"2015-06","lktexana_g",220710.01054357243,360173.0045191456,138307.35802660885
"2015-07","lktexana_g",3723.3945911041396,6051.940497769653,2259.601974813758
"2015-08","lktexana_g",1063.9514721602447,1535.4071076667406,748.5116494035613
"2015-09","lktexana_g",1386.2412370295451,2263.667917451565,859.3468499584951
"2015-10","lktexana_g",3906.0036091379848,7068.0816174661495,2102.494642625337
"2015-11","lktexana_g",2787.783559412729,4926.9675455448705,1587.0319846794132
"2015-12","lktexana_g",5652.161603866956,9620.009504898235,3310.393534291629
"2016-01","lktexana_g",4412.489917858845,7246.68785919405,2654.2071485926954
"2016-02","lktexana_g",1866.8895468318733,2769.1798623124773,1264.0265310120517
"2016-03","lktexana_g",52789.265038443875,79974.04095253519,34654.18556632103
"2016-04","lktexana_g",155556.5505315146,217892.8388590952,112580.20244441133
"2016-05","lktexana_g",91447.96557253554,134817.8550903229,63746.75876141964
"2016-06","lktexana_g",56064.03472782772,93749.32780572791,33415.85449096287
"2016-07","lktexana_g",4547.538512929434,6293.669031432642,3312.120299539589
"2016-08","lktexana_g",19923.73320586299,31862.49642620541,11968.254458077143
"2016-09","lktexana_g",6763.807776996434,11102.955304188596,4027.125838324462
"2016-10","lktexana_g",673.3248689514819,1067.569742683693,423.9686610879788
"2016-11","lktexana_g",483.9989076436864,764.9260638482474,304.23105450860413
"2016-12","lktexana_g",695.4265428889211,1121.2308072793453,440.78196383477956
"2017-01","lktexana_g",15257.859394205052,25809.11211233894,9288.723403173408
"2017-02","lktexana_g",35194.80223311088,54332.25415254107,23355.371421695654
"2017-03","lktexana_g",29654.881013490347,46808.01186074042,18564.259421926803
"2017-04","lktexana_g",64842.391475995515,87991.3476870686,48501.52596800676
"2017-05","lktexana_g",4749.077923296423,6718.832927418313,3418.4232788853697
"2017-06","lktexana_g",4129.026034387244,5977.629948587394,2945.6939793321285
"2017-07","lktexana_g",2568.0277935689,3777.7057237195027,1784.5380980113205
"2017-08","lktexana_g",124280.8474159368,200625.82129797322,78781.23770003821
"2017-09","lktexana_g",18842.907223769074,30706.356853193818,11816.985254943502
"2017-10","lktexana_g",860.1937123238121,1381.7111089245655,552.0290096100385
