"month","site_no","TP_Estimate","TP_Upper","TP_Lower"
"2018-07","usgs08164503",5162.48711490692,6494.756145350895,4095.1986216461355
"2018-08","usgs08164503",2168.3890963356384,2734.839712434285,1715.5977360934878
"2018-09","usgs08164503",4416.178080997753,5578.487439905788,3489.335559595654
"2018-10","usgs08164503",3427.746555505224,4335.070940190039,2707.44790563113
"2018-11","usgs08164503",5297.11912257651,6712.516358706411,4170.656054346211
"2018-12","usgs08164503",1868.9713962374492,2375.59835270269,1472.4666305408432
"2019-01","usgs08164503",2515.0805967574324,3208.15142079613,1976.7962393842388
"2019-02","usgs08164503",1651.4393208358676,2107.2017509346656,1295.3052249295097
"2019-03","usgs08164503",2501.2094698321675,3207.6356327118065,1957.0637858435227
"2019-04","usgs08164503",2997.180886273099,3851.586244382113,2338.4693218884386
"2019-05","usgs08164503",4869.573409811766,6265.761295793302,3789.5156032835775
"2019-06","usgs08164503",4552.954287820987,5858.814927716824,3532.584790835231
"2019-07","usgs08164503",5495.016640851626,7088.037423552002,4254.4365596690905
"2019-08","usgs08164503",2311.1502931403033,2990.263839081986,1785.9673866816709
"2019-09","usgs08164503",4709.912678778135,6112.403708359955,3632.9369022687847
"2019-10","usgs08164503",3659.950329261644,4757.575673298945,2814.2441701127727
"2019-11","usgs08164503",5661.383414690947,7379.07470879597,4341.838915226702
"2019-12","usgs08164503",1998.8919724048137,2611.795198854716,1534.0146945430297
"2020-01","usgs08164503",2692.861445743119,3532.0871883472214,2061.6056925855796
"2020-02","usgs08164503",1822.8005699850057,2391.880976980362,1394.8364403090818
"2020-03","usgs08164503",2739.610095636049,3607.3933212716333,2092.675408610132
"2020-04","usgs08164503",3165.139664806483,4176.264225753004,2413.5269292624425
"2020-05","usgs08164503",5304.004451494756,7009.443167640534,4031.3442021228375
"2020-06","usgs08164503",4847.468181200836,6421.9156221201265,3670.0451837896444
"2020-07","usgs08164503",5860.098958008047,7778.898458076037,4431.688726382747
"2020-08","usgs08164503",2984.0753446916983,3967.959414315596,2252.5687691970966
"2020-09","usgs08164503",4599.727285088424,6134.738441258867,3469.863469257287
"2020-10","usgs08164503",3958.8323583560964,5296.196740327891,2976.4030807180075
"2020-11","usgs08164503",6087.96934266488,8170.612125851488,4568.645449481339
"2020-12","usgs08164503",2562.4712445528494,3438.935683370521,1922.0769094678676
"2000-01","usgs08164504",1433.1594937077796,2259.6494536055607,916.6658720196386
"2000-02","usgs08164504",986.7277997449855,1537.1759885211561,634.7848456293333
"2000-03","usgs08164504",1266.130032010657,1986.8622662097853,813.9465745148428
"2000-04","usgs08164504",1127.6180268696935,1779.4434733617657,723.7863118576331
"2000-05","usgs08164504",2859.129104325818,4557.767337610893,1808.3482352368544
"2000-06","usgs08164504",2423.4326152250665,3904.026762164817,1516.8805606741726
"2000-07","usgs08164504",3300.6482100715193,5322.750839866779,2070.9126480622494
"2000-08","usgs08164504",1523.0167549089867,2456.591443787882,949.1975546247862
"2000-09","usgs08164504",2433.0393802775125,3883.7565829867826,1530.8654793265075
"2000-10","usgs08164504",2320.1567983050895,3750.119140154393,1454.3310750458577
"2000-11","usgs08164504",4148.337411143332,6843.739582054946,2552.8042283408695
"2000-12","usgs08164504",1850.9899962645286,2941.6416897975255,1177.9590409497146
"2001-01","usgs08164504",1432.9451581918302,2259.26364843795,916.5601180862703
"2001-02","usgs08164504",975.5792199286027,1520.604557080453,627.0128226046313
"2001-03","usgs08164504",1185.2552602330693,1851.8866368765616,766.0348335487953
"2001-04","usgs08164504",1205.4683130924795,1910.2068963501756,769.7142190926533
"2001-05","usgs08164504",2823.6895204818943,4502.283534042142,1785.035310880701
"2001-06","usgs08164504",2418.1918316376527,3895.2216404031637,1513.6350679482275
"2001-07","usgs08164504",3345.473956827692,5392.642671216487,2100.1437517771874
"2001-08","usgs08164504",1280.1847361482667,2057.032627433387,800.3917103946851
"2001-09","usgs08164504",2657.8936421673016,4253.891780306217,1668.620912584471
"2001-10","usgs08164504",2295.821533644918,3713.2283326759616,1438.3342213427584
"2001-11","usgs08164504",4159.944608138376,6861.256335636411,2560.2874372341266
"2001-12","usgs08164504",1435.8284848381359,2288.90708438226,906.6700160559757
"2002-01","usgs08164504",1432.60109084307,2258.6337001632937,916.3709332020636
"2002-02","usgs08164504",975.3358265581413,1520.10888686212,626.8530789541035
"2002-03","usgs08164504",1184.948844421192,1851.3356916468665,765.839624769065
"2002-04","usgs08164504",1205.143377312353,1909.7547300608778,769.5131316261248
"2002-05","usgs08164504",2822.8986266752,4501.14464116682,1784.5701582661525
"2002-06","usgs08164504",2417.4902554073465,3893.9054729539566,1513.1484923311461
"2002-07","usgs08164504",3344.4763080160787,5390.725406301056,2099.5440402900576
"2002-08","usgs08164504",1279.7852930296583,2056.181081524474,800.1741524811201
"2002-09","usgs08164504",2657.05172199086,4252.543281224852,1668.0707742974942
"2002-10","usgs08164504",2295.0692471293833,3712.1341257906065,1437.9100241091112
"2002-11","usgs08164504",4158.54682775664,6858.748866632888,2559.532357484811
"2002-12","usgs08164504",1435.3376766561814,2288.072489585891,906.4311839705995
"2003-01","usgs08164504",1432.0973237456376,2257.67491124402,916.0902574571194
"2003-02","usgs08164504",974.9860717743231,1519.4327141776726,626.6356178772279
"2003-03","usgs08164504",1184.5162926307146,1850.587472967218,765.5692313031226
"2003-04","usgs08164504",1204.6942594794846,1909.0957044474565,769.2312141161098
"2003-05","usgs08164504",2821.8263720501727,4499.4978002298585,1783.9841387255904
"2003-06","usgs08164504",2416.5554828494496,3892.1914468898153,1512.5410961031203
"2003-07","usgs08164504",3343.1644812627333,5388.264852483583,2098.7631880304643
"2003-08","usgs08164504",1279.2707948269924,2055.187036484392,799.8939110919384
"2003-09","usgs08164504",2655.9742788375097,4250.781580308432,1667.41722118655
"2003-10","usgs08164504",2294.119475399036,3710.6333459317293,1437.3561348352157
"2003-11","usgs08164504",4156.797870693402,6855.628831809263,2558.5777919764664
"2003-12","usgs08164504",1434.726935856543,2287.0318557887517,906.1175792912618
"2004-01","usgs08164504",1431.4754546290576,2256.5036267928735,915.7412250757611
"2004-02","usgs08164504",985.5416819437448,1534.8840258231132,634.0370719252253
"2004-03","usgs08164504",1264.5733256732135,1984.2392736169686,812.9973028674813
"2004-04","usgs08164504",1126.1949841631338,1777.2856431004461,722.894788881454
"2004-05","usgs08164504",2855.4326803905633,4552.089391971382,1806.2785021573707
"2004-06","usgs08164504",2420.2228368996584,3898.163540029376,1514.740147655417
"2004-07","usgs08164504",3296.1920809493054,5314.2148129026245,2068.1950760415903
"2004-08","usgs08164504",1520.8890575849528,2452.736201757208,947.9663625647834
"2004-09","usgs08164504",2429.599542845057,3878.0194911807835,1528.8280180920547
"2004-10","usgs08164504",2316.787812339648,3745.0008235372275,1452.3635060228269
"2004-11","usgs08164504",4142.185081265927,6832.664233049775,2549.4533881087245
"2004-12","usgs08164504",1848.193315626042,2937.265497131929,1176.3654362719017
"2005-01","usgs08164504",1430.730353304338,2255.1506483920944,915.3176141615387
"2005-02","usgs08164504",974.0431298047604,1517.716724277368,626.0819347991296
"2005-03","usgs08164504",1183.356530776045,1848.587813726021,764.9443978169946
"2005-04","usgs08164504",1203.497322132093,1907.3338620435854,768.4586701135454
"2005-05","usgs08164504",2818.9838493417624,4494.815037833843,1782.5712852982158
"2005-06","usgs08164504",2414.08942746496,3887.842447494825,1510.967527985379
"2005-07","usgs08164504",3339.717209220987,5381.87336960268,2096.7424349134067
"2005-08","usgs08164504",1277.928156409723,2052.726094659298,799.1836629640986
"2005-09","usgs08164504",2653.169763450919,4246.247204538484,1665.8519567523895
"2005-10","usgs08164504",2291.662888386103,3706.609291176804,1435.8416082170259
"2005-11","usgs08164504",4152.298547990523,6847.56414035122,2555.954425926932
"2005-12","usgs08164504",1433.1622094614427,2284.2859250225324,905.2673983687465
"2006-01","usgs08164504",1429.8940632246233,2253.6012148875657,914.829605909384
"2006-02","usgs08164504",973.4697684782251,1516.789123407125,625.7599385969169
"2006-03","usgs08164504",1182.6553473529748,1847.2447495098995,764.5962958822165
"2006-04","usgs08164504",1202.7785354150224,1906.2326896442726,767.9926433313868
"2006-05","usgs08164504",2817.2875114512613,4491.672554166975,1781.7269010123475
"2006-06","usgs08164504",2412.626286334304,3885.436248078359,1510.1721559052805
"2006-07","usgs08164504",3337.6812636652026,5378.11110657433,2095.572282202517
"2006-08","usgs08164504",1277.141252263754,2051.249780199357,798.7213085126546
"2006-09","usgs08164504",2651.530326392021,4243.741547841506,1664.9570368552838
"2006-10","usgs08164504",2290.235316498738,3703.925559740166,1434.9633787160087
"2006-11","usgs08164504",4149.695668948902,6842.748064282674,2554.2828513777113
"2006-12","usgs08164504",1432.2598684494033,2282.6973093241218,904.7414149655448
"2007-01","usgs08164504",1428.987070837037,2251.885967549682,914.2941862307765
"2007-02","usgs08164504",972.849054861,1515.8381300539897,625.3990203624513
"2007-03","usgs08164504",1181.8976484032714,1845.7843368137817,764.2187372021153
"2007-04","usgs08164504",1202.003699369612,1905.0375121873785,767.4814628448948
"2007-05","usgs08164504",2815.463610307145,4488.219658871296,1780.8656561871446
"2007-06","usgs08164504",2411.057405258262,3882.9882083115954,1509.4417852873546
"2007-07","usgs08164504",3335.503451458175,5374.105733123941,2094.328842219283
"2007-08","usgs08164504",1276.3033892931119,2049.674097406577,798.2135102725346
"2007-09","usgs08164504",2649.7877535040493,4241.149857396372,1664.0285880077593
"2007-10","usgs08164504",2288.724409207134,3701.074149464269,1434.0206740173212
"2007-11","usgs08164504",4146.950546672129,6837.639853169277,2552.769904709128
"2007-12","usgs08164504",1431.3106732312517,2281.100153616724,904.1570803236324
"2008-01","usgs08164504",1428.0374249389574,2250.2057549282417,913.6918899883423
"2008-02","usgs08164504",983.1601491814058,1531.1219330120045,632.6722091461805
"2008-03","usgs08164504",1261.4995854212955,1978.5763350803418,811.397067976896
"2008-04","usgs08164504",1123.4396486519306,1773.037390140564,721.1353254182001
"2008-05","usgs08164504",2848.4057740770977,4539.11740659234,1802.891397396212
"2008-06","usgs08164504",2414.2332051956796,3888.6546694943454,1511.6754488824201
"2008-07","usgs08164504",3287.999003584798,5298.656245957745,2063.393710657624
"2008-08","usgs08164504",1517.0801070258904,2445.9793879028557,945.6971853015028
"2008-09","usgs08164504",2423.499205516324,3868.351764831522,1525.5750211513803
"2008-10","usgs08164504",2310.93795461985,3734.1852508806733,1448.7010728462692
"2008-11","usgs08164504",4131.680544520191,6813.180171792509,2543.2665391740193
"2008-12","usgs08164504",1843.488725512379,2929.2589777463277,1173.7186276224845
"2009-01","usgs08164504",1427.0719670642986,2248.5741533440937,913.1157334194133
"2009-02","usgs08164504",971.543500113052,1513.9457933951599,624.662435790644
"2009-03","usgs08164504",1180.3097046812977,1842.8071968506774,763.4989795782986
"2009-04","usgs08164504",1200.3867047700087,1902.5258050439647,766.4417344757223
"2009-05","usgs08164504",2811.672131595952,4480.751396976189,1779.0725594181863
"2009-06","usgs08164504",2407.807726956689,3877.62656019237,1507.9361884054226
"2009-07","usgs08164504",3331.005118682778,5365.0045091229285,2091.5696300337745
"2009-08","usgs08164504",1274.5807758951698,2046.6306121343218,797.1441691746545
"2009-09","usgs08164504",2646.210661002988,4235.256182850148,1661.9503188526498
"2009-10","usgs08164504",2285.6338111053306,3695.0976402088077,1432.1386461316085
"2009-11","usgs08164504",4141.350334293632,6827.360314959376,2549.3765003243325
"2009-12","usgs08164504",1429.3778805677216,2277.921287690218,902.9512426159454
"2010-01","usgs08164504",1426.1095230884039,2246.8888466070657,912.5046135914783
"2010-02","usgs08164504",970.8893172245572,1513.0696258927169,624.281972962641
