"Date","Flow","log1p_Flow","site_no","TP_Estimate","TP_Upper","TP_Lower"
2010-01-11,109.001,4.700480365792417,"usgs08164000",47.06440945841853,58.54782345843322,37.64275777152642
2010-01-12,107.001,4.68213122712422,"usgs08164000",46.574634807893574,58.237408773410664,37.15931017836479
2010-01-13,104.001,4.653960350157523,"usgs08164000",44.5713076047944,55.3893281779526,35.77335366211124
2010-01-14,104.001,4.653960350157523,"usgs08164000",43.908534486604,53.93166046866375,35.60826805227589
2010-01-15,1720.001,7.450660796211539,"usgs08164000",763.5051197826813,939.8839397348856,610.3633782960308
2010-01-16,7010.001,8.855235623206967,"usgs08164000",4433.028011931447,5754.7039759606705,3461.5246226470645
2010-01-17,9460.001,9.154933364704444,"usgs08164000",6849.433289154705,9437.107679341794,5054.381456081813
2010-01-18,6980.001,8.850947451970402,"usgs08164000",5091.861450618833,7008.417589856492,3758.7397048209955
2010-01-19,1310.001,7.1785454837637,"usgs08164000",943.9966161227458,1304.1680172974025,696.4975558554584
2010-01-20,714.001,6.5722825426940075,"usgs08164000",416.0457751932351,522.5731354604391,333.35559188463105
2010-01-21,509.001,6.234410725718371,"usgs08164000",265.1555749483896,331.0186346100154,214.26292945123856
2010-01-22,401.001,5.996452088619021,"usgs08164000",189.88960776536882,233.83614417875773,156.6381607804671
2010-01-23,332.001,5.808142489980444,"usgs08164000",143.51050062481102,173.55958297066286,121.54126482051424
2010-01-24,288.001,5.666426688112432,"usgs08164000",116.14661160385178,138.814114430471,98.26436309314221
2010-01-25,244.001,5.501258210544727,"usgs08164000",95.21087922359551,114.42761512419841,80.2307961065219
2010-01-26,241.001,5.488937726156687,"usgs08164000",95.52420277354099,114.65522899654894,80.38020906595554
2010-01-27,244.001,5.501258210544727,"usgs08164000",97.1951552917677,116.4954684813084,81.75622439308464
2010-01-28,202.00099999999998,5.313205979041787,"usgs08164000",80.04363340055106,95.62754360240167,67.73308534987143
2010-01-29,196.001,5.2832037287379885,"usgs08164000",81.10839648964439,97.55342335520692,67.40255584423
2010-01-30,314.001,5.752572638825633,"usgs08164000",132.8883225020324,160.81744723927224,109.66797929036089
2010-01-31,252.001,5.53338948872752,"usgs08164000",99.94676792521173,119.47380595085758,84.17075632078314
2010-02-01,199.001,5.298317366548036,"usgs08164000",77.49462332689292,92.87275475860312,65.4907738374764
